x:image,x2:spectrogram,y:label;nofire;fire,x3:temperature,x4:humidity,x5:wind_speed,x6:wind_direction
./fire/train/fire_0459.jpg,./fire/train/0480.png,1,35,15,11.82,43.0
./nofire/train/nofire_0021.jpg,./nofire/train/0023.png,0,29,53,2.69,7.0
./fire/train/fire_0210.jpg,./fire/train/0228.png,1,42,19,15.2,359.0
./nofire/train/nofire_0689.jpg,./nofire/train/0703.png,0,29,67,6.18,3.0
./nofire/train/nofire_0680.jpg,./nofire/train/0692.png,0,22,61,8.5,80.0
./fire/train/fire_0881.jpg,./fire/train/0885.png,1,36,20,16.1,322.0
./fire/train/fire_0812.jpg,./fire/train/0817.png,1,42,38,18.8,8.0
./fire/train/fire_0108.jpg,./fire/train/0125.png,1,46,29,18.41,29.0
./fire/train/fire_0162.jpg,./fire/train/0177.png,1,44,28,18.82,282.0
./nofire/train/nofire_0457.jpg,./nofire/train/0469.png,0,24,64,7.38,280.0
./nofire/train/nofire_0209.jpg,./nofire/train/0224.png,0,27,70,6.87,308.0
./nofire/train/nofire_0916.jpg,./nofire/train/0919.png,0,21,62,9.26,16.0
./nofire/train/nofire_0339.jpg,./nofire/train/0351.png,0,22,70,1.55,241.0
./fire/train/fire_0055.jpg,./fire/train/0061.png,1,44,16,11.88,77.0
./fire/train/fire_0491.jpg,./fire/train/0512.png,1,39,13,19.84,16.0
./fire/train/fire_0631.jpg,./fire/train/0631.png,1,35,25,15.57,351.0
./nofire/train/nofire_0268.jpg,./nofire/train/0286.png,0,26,65,9.83,123.0
./nofire/train/nofire_0384.jpg,./nofire/train/0397.png,0,23,60,7.93,78.0
./nofire/train/nofire_0460.jpg,./nofire/train/0472.png,0,26,67,7.96,4.0
./nofire/train/nofire_0524.jpg,./nofire/train/0541.png,0,27,53,7.59,127.0
./fire/train/fire_0767.jpg,./fire/train/0771.png,1,47,38,11.04,295.0
./nofire/train/nofire_0927.jpg,./nofire/train/0928.png,0,29,60,4.52,85.0
./nofire/train/nofire_0377.jpg,./nofire/train/0389.png,0,26,50,7.88,270.0
./fire/train/fire_0513.jpg,./fire/train/0534.png,1,45,27,17.58,283.0
./nofire/train/nofire_0236.jpg,./nofire/train/0253.png,0,20,63,6.92,103.0
./nofire/train/nofire_0881.jpg,./nofire/train/0885.png,0,24,63,0.58,100.0
./fire/train/fire_0685.jpg,./fire/train/0687.png,1,39,28,10.69,289.0
./fire/train/fire_0416.jpg,./fire/train/0441.png,1,36,33,16.16,347.0
./nofire/train/nofire_0325.jpg,./nofire/train/0338.png,0,24,65,7.59,252.0
./nofire/train/nofire_0505.jpg,./nofire/train/0521.png,0,20,64,3.38,184.0
./fire/train/fire_0930.jpg,./fire/train/0929.png,1,38,40,15.68,294.0
./fire/train/fire_0833.jpg,./fire/train/0841.png,1,45,26,18.0,6.0
./nofire/train/nofire_0108.jpg,./nofire/train/0119.png,0,27,59,2.3,129.0
./nofire/train/nofire_0159.jpg,./nofire/train/0172.png,0,20,60,3.38,253.0
./nofire/train/nofire_0650.jpg,./nofire/train/0665.png,0,26,52,9.34,272.0
./fire/train/fire_0144.jpg,./fire/train/0161.png,1,39,36,11.32,76.0
./nofire/train/nofire_0698.jpg,./nofire/train/0711.png,0,26,67,8.47,159.0
./nofire/train/nofire_0435.jpg,./nofire/train/0447.png,0,23,61,1.41,179.0
./fire/train/fire_0147.jpg,./fire/train/0163.png,1,35,23,10.11,32.0
./fire/train/fire_0547.jpg,./fire/train/0562.png,1,46,26,17.73,39.0
./fire/train/fire_0218.jpg,./fire/train/0237.png,1,35,11,14.31,296.0
./fire/train/fire_0908.jpg,./fire/train/0908.png,1,36,21,11.71,60.0
./fire/train/fire_0009.jpg,./fire/train/0010.png,1,46,29,15.09,305.0
./nofire/train/nofire_0570.jpg,./nofire/train/0582.png,0,24,52,3.77,236.0
./nofire/train/nofire_0723.jpg,./nofire/train/0738.png,0,20,68,1.74,346.0
./nofire/train/nofire_0533.jpg,./nofire/train/0549.png,0,29,64,5.28,194.0
./nofire/train/nofire_0704.jpg,./nofire/train/0716.png,0,25,69,3.51,22.0
./nofire/train/nofire_0637.jpg,./nofire/train/0652.png,0,22,51,3.35,203.0
./nofire/train/nofire_0171.jpg,./nofire/train/0182.png,0,20,69,1.24,82.0
./fire/train/fire_0051.jpg,./fire/train/0054.png,1,48,10,15.03,289.0
